"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"226","Indre By",0,8,3,529,55.681509,12.589086,"E"
"227","Indre By",0,6,3,529,55.690828,12.579855,"E"
"228","Indre By",0,5,1,121,55.681343,12.583337,"S"
"229","Østerbro",0,2,1,91,55.711947,12.564801,"S"
"230","Amager Vest",0,4,1,102,55.660497,12.604627,"S"
"231","Amager Vest",0,2,1,100,55.650305,12.611282,"S"
"232","Amager Vest",4.5,2,1,101,55.653784,12.563175,"S"
"233","Indre By",0,6,1,91,55.673855,12.573708,"S"
"234","Brønshøj-Husum",0,3,1,68,55.705616,12.510301,"S"
"235","Amager Øst",0,3,1,74,55.66882,12.600052,"S"
"236","Indre By",0,2,1,77,55.679568,12.590487,"S"
"237","Nørrebro",0,4,1,68,55.695048,12.540888,"S"
"238","Amager Vest",4.5,2,1,44,55.667396,12.596539,"S"
"239","Nørrebro",4.5,2,1,61,55.692507,12.566164,"S"
"240","Nørrebro",5,1,1,52,55.694764,12.546073,"S"
"241","Vanløse",0,1,1,45,55.690596,12.503066,"S"
"242","Vesterbro-Kongens Enghave",5,3,1,53,55.646012,12.535057,"S"
"243","Brønshøj-Husum",4.5,2,1,50,55.714648,12.460488,"S"
"244","Vanløse",3.5,2,1,49,55.698651,12.523346,"S"
"245","Valby",0,2,1,61,55.656316,12.513838,"S"
"246","Nørrebro",4.5,2,1,47,55.68223,12.555549,"S"
"247","Nørrebro",0,2,1,59,55.694856,12.536616,"S"
"248","Indre By",0,1,1,45,55.677765,12.587349,"S"
"249","Amager Vest",4.5,1,1,56,55.649558,12.609135,"S"
"250","Nørrebro",5,1,1,42,55.696225,12.547734,"S"
"251","Vesterbro-Kongens Enghave",4.5,2,1,44,55.651255,12.555323,"S"
"252","Nørrebro",0,1,1,49,55.69483,12.550022,"S"
"253","Vesterbro-Kongens Enghave",4.5,1,1,23,55.645732,12.524966,"S"
"254","Vesterbro-Kongens Enghave",4,4,1,27,55.671469,12.548346,"S"
"255","Nørrebro",4,2,1,23,55.695456,12.543835,"S"
"256","Nørrebro",4.5,2,1,24,55.697249,12.542888,"S"
"257","Nørrebro",4,2,1,23,55.698365,12.545374,"S"
"258","Nørrebro",4.5,2,1,25,55.699336,12.544689,"S"
"259","Nørrebro",4.5,2,1,25,55.698093,12.545587,"S"
"260","Nørrebro",4.5,2,1,25,55.697439,12.544253,"S"
"261","Nørrebro",4.5,2,1,22,55.699254,12.545971,"S"
"262","Nørrebro",4,2,1,25,55.696599,12.54496,"S"
"263","Nørrebro",0,1,1,25,55.699636,12.54455,"S"
"264","Nørrebro",0,1,1,23,55.696081,12.542379,"S"
"265","Nørrebro",4,2,1,25,55.696753,12.545297,"S"
"266","Nørrebro",0,1,1,23,55.69725,12.544159,"S"
"267","Nørrebro",0,1,1,23,55.695407,12.542498,"S"
"268","Nørrebro",3.5,1,1,23,55.69765,12.54269,"S"
